color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,category
Des McAnuff,49.0,92.0,5.0,924.0,Janeane Garofalo,22000.0,26000610.0,Adventure|Animation|Comedy|Family|Fantasy,Robert De Niro,The Adventures of Rocky & Bullwinkle ,16611,28050,Jonathan Winters,0.0,deforestation|fbi|lighthouse|moose|squirrel,http://www.imdb.com/title/tt0131704/?ref_=fn_tt_tt_1,197.0,English,USA,PG,76000000.0,2000.0,1000.0,4.1,1.85,413,Robert_De_Niro|Janeane_Garofalo|Jonathan_Winters|Des_McAnuff,4
Dominic Sena,166.0,101.0,57.0,230.0,Bashar Rahal,1000.0,10268846.0,Action|Crime|Mystery|Thriller,Tom Skerritt,Whiteout ,31918,1947,Shawn Doyle,1.0,antarctica|geologist|investigation|u.s. marshal|winter,http://www.imdb.com/title/tt0365929/?ref_=fn_tt_tt_1,142.0,English,USA,R,35000000.0,2009.0,603.0,5.5,2.35,0,Tom_Skerritt|Bashar_Rahal|Shawn_Doyle|Dominic_Sena,0
Jeremy Saulnier,322.0,95.0,57.0,233.0,Mark Webber,727.0,3219029.0,Crime|Horror|Music|Thriller,Alia Shawkat,Green Room ,28845,1836,Joe Cole,0.0,murder|neo nazi|punk band|skinhead|suspense,http://www.imdb.com/title/tt4062536/?ref_=fn_tt_tt_1,125.0,English,USA,R,5000000.0,2015.0,442.0,7.1,2.35,10000,Alia_Shawkat|Mark_Webber|Joe_Cole|Jeremy_Saulnier,1
Michael Patrick King,221.0,146.0,127.0,722.0,Liza Minnelli,962.0,95328937.0,Comedy|Drama|Romance,Chris Noth,Sex and the City 2 ,59581,4555,Kristin Davis,4.0,abu dhabi|box office hit|muslim|nanny|united arab emirates,http://www.imdb.com/title/tt1261945/?ref_=fn_tt_tt_1,293.0,English,USA,R,100000000.0,2010.0,740.0,4.3,1.85,0,Chris_Noth|Liza_Minnelli|Kristin_Davis|Michael_Patrick_King,17
James Marsh,194.0,90.0,120.0,0.0,Philippe Petit,41.0,2957978.0,Biography|Crime|Documentary|History|Thriller,Paul McGill,Man on Wire ,40481,68,Jean-Louis Blondeau,0.0,new york city|passion|reenactment|rooftop|tower,http://www.imdb.com/title/tt1155592/?ref_=fn_tt_tt_1,134.0,English,UK,PG-13,1000000.0,2008.0,27.0,7.8,1.85,0,Paul_McGill|Philippe_Petit|Jean-Louis_Blondeau|James_Marsh,34
Jonathan Mostow,280.0,109.0,84.0,191.0,M.C. Gainey,648.0,150350192.0,Action|Sci-Fi,Nick Stahl,Terminator 3: Rise of the Machines ,305340,1769,Carolyn Hennesy,0.0,drifter|exploding truck|future|machine|skynet,http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1,1676.0,English,USA,R,200000000.0,2003.0,284.0,6.4,2.35,0,Nick_Stahl|M.C._Gainey|Carolyn_Hennesy|Jonathan_Mostow,32
Clint Eastwood,38.0,115.0,16000.0,240.0,Chris Penn,16000.0,41400000.0,Western,Clint Eastwood,Pale Rider ,39451,17209,Sydney Penny,0.0,gold|miner|preacher|prospector|sheriff,http://www.imdb.com/title/tt0089767/?ref_=fn_tt_tt_1,138.0,English,USA,R,6900000.0,1985.0,455.0,7.3,2.35,0,Clint_Eastwood|Chris_Penn|Sydney_Penny|Clint_Eastwood,28
Antoine Fuqua,198.0,124.0,845.0,295.0,Ned Beatty,650.0,46975183.0,Action|Crime|Drama|Mystery|Thriller,Tate Donovan,Shooter ,256213,1640,Louis Ferreira,0.0,colonel|ethiopia|marksman|on the run|rangefinder,http://www.imdb.com/title/tt0822854/?ref_=fn_tt_tt_1,338.0,English,USA,R,61000000.0,2007.0,467.0,7.2,2.35,0,Tate_Donovan|Ned_Beatty|Louis_Ferreira|Antoine_Fuqua,0
Michael Landon Jr.,18.0,117.0,84.0,275.0,Louise Fletcher,861.0,379643.0,Drama,Henry Thomas,The Last Sin Eater ,1573,2161,A.J. Buckley,0.0,1850s|christian film|dark secret|funeral|sin eater,http://www.imdb.com/title/tt0810928/?ref_=fn_tt_tt_1,29.0,English,USA,PG-13,2200000.0,2007.0,425.0,5.9,1.85,285,Henry_Thomas|Louise_Fletcher|A.J._Buckley|Michael_Landon_Jr.,23
Len Wiseman,206.0,102.0,235.0,520.0,Tony Curran,956.0,62318875.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,Sophia Myles,Underworld: Evolution ,156225,2998,Derek Jacobi,1.0,death|feud|forbidden love|vampire|werewolf,http://www.imdb.com/title/tt0401855/?ref_=fn_tt_tt_1,502.0,English,USA,R,50000000.0,2006.0,845.0,6.8,2.35,0,Sophia_Myles|Tony_Curran|Derek_Jacobi|Len_Wiseman,16
Genndy Tartakovsky,256.0,91.0,266.0,11000.0,Adam Sandler,12000.0,148313048.0,Animation|Comedy|Family|Fantasy,Steve Buscemi,Hotel Transylvania ,164148,37142,Jon Lovitz,2.0,dracula|hotel|invisible man|monster|transylvania,http://www.imdb.com/title/tt0837562/?ref_=fn_tt_tt_1,168.0,English,USA,PG,85000000.0,2012.0,11000.0,7.1,1.85,28000,Steve_Buscemi|Adam_Sandler|Jon_Lovitz|Genndy_Tartakovsky,12
Catherine Hardwicke,291.0,100.0,308.0,913.0,Billy Burke,10000.0,37652565.0,Fantasy|Horror|Mystery|Thriller,Gary Oldman,Red Riding Hood ,91151,15369,Virginia Madsen,2.0,death|forest|love|werewolf|werewolf bite,http://www.imdb.com/title/tt1486185/?ref_=fn_tt_tt_1,283.0,English,USA,PG-13,42000000.0,2011.0,2000.0,5.4,2.35,20000,Gary_Oldman|Billy_Burke|Virginia_Madsen|Catherine_Hardwicke,1
Atom Egoyan,97.0,107.0,460.0,490.0,Alison Lohman,14000.0,871527.0,Crime|Drama|Mystery|Thriller,Colin Firth,Where the Truth Lies ,14982,16090,Rachel Blanchard,2.0,breasts|death|female rear nudity|lesbian cunnilingus|rear entry sex,http://www.imdb.com/title/tt0373450/?ref_=fn_tt_tt_1,128.0,English,Canada,R,25000000.0,2005.0,1000.0,6.5,2.35,507,Colin_Firth|Alison_Lohman|Rachel_Blanchard|Atom_Egoyan,0
Marc Forster,153.0,112.0,395.0,80.0,Peter Boyle,13000.0,31252964.0,Drama|Romance,Heath Ledger,Monster's Ball ,71495,13707,Marcus Lyle Brown,1.0,cunnilingus|female frontal nudity|female nudity|interracial sex|rear entry sex,http://www.imdb.com/title/tt0285742/?ref_=fn_tt_tt_1,522.0,English,USA,R,4000000.0,2001.0,595.0,7.1,2.35,0,Heath_Ledger|Peter_Boyle|Marcus_Lyle_Brown|Marc_Forster,3
Jay Roach,255.0,85.0,116.0,329.0,Thomas Middleditch,8000.0,86897182.0,Comedy,Will Ferrell,The Campaign ,106790,9271,Katherine LaNasa,0.0,campaigning|congressman|north carolina|title at the end|u.s. congressman,http://www.imdb.com/title/tt1790886/?ref_=fn_tt_tt_1,177.0,English,USA,R,95000000.0,2012.0,331.0,6.2,1.85,18000,Will_Ferrell|Thomas_Middleditch|Katherine_LaNasa|Jay_Roach,14
John Whitesell,65.0,99.0,14.0,633.0,Nia Long,17000.0,70163652.0,Comedy|Crime,Chlo?? Grace Moretz,Big Momma's House 2 ,31968,19334,Marisol Nichols,0.0,cheerleading|fbi|fbi agent|nanny|undercover,http://www.imdb.com/title/tt0421729/?ref_=fn_tt_tt_1,82.0,English,USA,PG-13,40000000.0,2006.0,826.0,4.6,1.85,663,Chlo??_Grace_Moretz|Nia_Long|Marisol_Nichols|John_Whitesell,14
Tony Scott,81.0,140.0,12000.0,619.0,Jake Busey,10000.0,111544445.0,Action|Crime|Drama|Mystery|Thriller,Will Smith,Enemy of the State ,188116,11951,Lisa Bonet,4.0,congressman|lawyer|nsa|on the run|surveillance,http://www.imdb.com/title/tt0120660/?ref_=fn_tt_tt_1,415.0,English,USA,R,90000000.0,1998.0,660.0,7.3,2.35,0,Will_Smith|Jake_Busey|Lisa_Bonet|Tony_Scott,0
Jonathan Frakes,69.0,94.0,906.0,528.0,Paula Garc??s,2000.0,36985501.0,Action|Adventure|Comedy|Sci-Fi|Thriller,Michael Biehn,Clockstoppers ,11212,3917,Jason George,0.0,frozen time|stopped time|time freeze|watch|wristwatch,http://www.imdb.com/title/tt0157472/?ref_=fn_tt_tt_1,94.0,English,USA,PG,26000000.0,2002.0,587.0,5.2,1.85,874,Michael_Biehn|Paula_Garc??s|Jason_George|Jonathan_Frakes,16
Andrzej Bartkowiak,109.0,101.0,43.0,432.0,Tom Arnold,5000.0,34604054.0,Action|Crime|Drama|Thriller,Jet Li,Cradle 2 the Grave ,34942,6867,DMX,2.0,camera shot from inside human body|diamond|evil man|heist|terrorism,http://www.imdb.com/title/tt0306685/?ref_=fn_tt_tt_1,185.0,English,USA,R,30000000.0,2003.0,618.0,5.8,2.35,1000,Jet_Li|Tom_Arnold|DMX|Andrzej_Bartkowiak,9
Peter Hewitt,43.0,93.0,12.0,636.0,George Carlin,18000.0,38037513.0,Adventure|Comedy|Fantasy|Music|Sci-Fi,Keanu Reeves,Bill & Ted's Bogus Journey ,49680,20188,Alex Winter,2.0,battle of the bands|bill and ted|heaven|hell|robot,http://www.imdb.com/title/tt0101452/?ref_=fn_tt_tt_1,117.0,English,USA,PG,20000000.0,1991.0,769.0,6.2,1.85,0,Keanu_Reeves|George_Carlin|Alex_Winter|Peter_Hewitt,21
Brian De Palma,121.0,104.0,0.0,517.0,David Margulies,754.0,31899000.0,Mystery|Romance|Thriller,Angie Dickinson,Dressed to Kill ,23986,2442,Nancy Allen,0.0,apartment|elevator|murder|psychiatrist|sunglasses,http://www.imdb.com/title/tt0080661/?ref_=fn_tt_tt_1,201.0,English,USA,X,6500000.0,1980.0,567.0,7.1,2.35,0,Angie_Dickinson|David_Margulies|Nancy_Allen|Brian_De_Palma,13
Sylvio Tabet,17.0,107.0,0.0,284.0,Kari Wuhrer,721.0,869325.0,Action|Adventure|Fantasy|Sci-Fi,Michael Berryman,Beastmaster 2: Through the Portal of Time ,2281,2000,Marc Singer,2.0,beast|beastmaster|psychotronic|sword and sorcery|warrior,http://www.imdb.com/title/tt0101412/?ref_=fn_tt_tt_1,16.0,English,USA,PG-13,6000000.0,1991.0,514.0,3.8,1.85,125,Michael_Berryman|Kari_Wuhrer|Marc_Singer|Sylvio_Tabet,32
John Erick Dowdle,273.0,80.0,66.0,816.0,Bokeem Woodbine,2000.0,33583175.0,Horror|Mystery|Thriller,Bojana Novakovic,Devil ,104089,5628,Geoffrey Arend,0.0,devil|elevator|hit and run|throat slitting|trapped in an elevator,http://www.imdb.com/title/tt1314655/?ref_=fn_tt_tt_1,319.0,English,USA,PG-13,10000000.0,2010.0,904.0,6.3,2.35,16000,Bojana_Novakovic|Bokeem_Woodbine|Geoffrey_Arend|John_Erick_Dowdle,1
Clark Johnson,144.0,117.0,69.0,1000.0,Josh Charles,10000.0,116643346.0,Action|Adventure|Crime|Thriller,Jeremy Renner,S.W.A.T. ,119807,14486,LL Cool J,1.0,hostage|police|prison|swat team|training,http://www.imdb.com/title/tt0257076/?ref_=fn_tt_tt_1,340.0,English,USA,PG-13,80000000.0,2003.0,1000.0,6.0,2.35,0,Jeremy_Renner|Josh_Charles|LL_Cool_J|Clark_Johnson,9
Michael Apted,98.0,115.0,150.0,789.0,Jeff Kober,970.0,39177215.0,Crime|Drama|Thriller,Bill Cobbs,Enough ,30667,3770,Billy Campbell,1.0,abusive husband|escape|intimate partner homicide|marriage|woman wearing only a man's shirt,http://www.imdb.com/title/tt0278435/?ref_=fn_tt_tt_1,234.0,English,USA,PG-13,38000000.0,2002.0,919.0,5.6,2.35,0,Bill_Cobbs|Jeff_Kober|Billy_Campbell|Michael_Apted,34
Curtis Hanson,119.0,110.0,161.0,196.0,Omar Benson Miller,1000.0,116724075.0,Drama|Music,Mekhi Phifer,8 Mile ,187181,1954,Evan Jones,0.0,competition|contest|friend|self expression|white rapper,http://www.imdb.com/title/tt0298203/?ref_=fn_tt_tt_1,564.0,English,USA,R,41000000.0,2002.0,418.0,7.0,2.35,0,Mekhi_Phifer|Omar_Benson_Miller|Evan_Jones|Curtis_Hanson,18
Tyler Perry,46.0,107.0,0.0,685.0,Cicely Tyson,1000.0,63231524.0,Comedy|Drama|Romance,Boris Kodjoe,Madea's Family Reunion ,8962,5264,Blair Underwood,4.0,cross dressing|family reunion|madea series|reflective|sister sister relationship,http://www.imdb.com/title/tt0455612/?ref_=fn_tt_tt_1,137.0,English,USA,PG-13,6000000.0,2006.0,907.0,5.0,1.85,676,Boris_Kodjoe|Cicely_Tyson|Blair_Underwood|Tyler_Perry,17
Rod Lurie,190.0,110.0,37.0,268.0,Laz Alonso,10000.0,10324441.0,Action|Drama|Thriller,Alexander Skarsg??rd,Straw Dogs ,27117,11431,Rhys Coiro,1.0,gang rape|panties pulled down|rape|rape victim|sexual humiliation,http://www.imdb.com/title/tt0999913/?ref_=fn_tt_tt_1,140.0,English,USA,R,25000000.0,2011.0,826.0,5.8,2.35,7000,Alexander_Skarsg??rd|Laz_Alonso|Rhys_Coiro|Rod_Lurie,9
Rupert Wainwright,131.0,103.0,9.0,573.0,Enrico Colantoni,826.0,50041732.0,Horror,Nia Long,Stigmata ,54390,3004,Portia de Rossi,0.0,catholic|priest|stigmata|vatican|wound,http://www.imdb.com/title/tt0145531/?ref_=fn_tt_tt_1,398.0,English,USA,R,29000000.0,1999.0,724.0,6.2,2.35,0,Nia_Long|Enrico_Colantoni|Portia_de_Rossi|Rupert_Wainwright,1
Paul Haggis,239.0,133.0,549.0,343.0,Daniel Stern,10000.0,21129348.0,Crime|Drama|Romance|Thriller,Olivia Wilde,The Next Three Days ,146364,11799,Aisha Hinds,0.0,argument|evidence|fingerprints|murder|murder weapon,http://www.imdb.com/title/tt1458175/?ref_=fn_tt_tt_1,237.0,English,USA,PG-13,35000000.0,2010.0,796.0,7.4,2.35,27000,Olivia_Wilde|Daniel_Stern|Aisha_Hinds|Paul_Haggis,34
Renny Harlin,61.0,124.0,212.0,810.0,Frank Langella,1000.0,11000000.0,Action|Adventure|Comedy,Christopher Masterson,Cutthroat Island ,21102,3611,Matthew Modine,3.0,latin|pirate|pirate ship|treasure|treasure map,http://www.imdb.com/title/tt0112760/?ref_=fn_tt_tt_1,169.0,English,USA,PG-13,98000000.0,1995.0,903.0,5.6,2.35,1000,Christopher_Masterson|Frank_Langella|Matthew_Modine|Renny_Harlin,16
John Carpenter,297.0,109.0,0.0,145.0,Richard Masur,957.0,13782838.0,Horror|Mystery|Sci-Fi,Wilford Brimley,The Thing ,258078,1757,David Clennon,0.0,alien creature|alien life form|antarctica|isolation|paranoia,http://www.imdb.com/title/tt0084787/?ref_=fn_tt_tt_1,911.0,English,USA,R,15000000.0,1982.0,163.0,8.2,2.35,23000,Wilford_Brimley|Richard_Masur|David_Clennon|John_Carpenter,1
Michael Rymer,28.0,95.0,48.0,826.0,Omar Epps,1000.0,14003141.0,Crime|Drama|Thriller,LL Cool J,In Too Deep ,4598,4837,Nia Long,1.0,cunnilingus|oral sex|police|sex scene|undercover,http://www.imdb.com/title/tt0160401/?ref_=fn_tt_tt_1,29.0,English,USA,R,7000000.0,1999.0,865.0,6.1,2.35,375,LL_Cool_J|Omar_Epps|Nia_Long|Michael_Rymer,34
Michael Sucsy,214.0,104.0,23.0,281.0,Lucas Bryant,17000.0,125014030.0,Drama|Romance,Channing Tatum,The Vow ,145852,18322,Dillon Casey,0.0,car accident|life support|memory loss|trauma|voice recording,http://www.imdb.com/title/tt1606389/?ref_=fn_tt_tt_1,164.0,English,USA,PG-13,30000000.0,2012.0,359.0,6.8,2.35,32000,Channing_Tatum|Lucas_Bryant|Dillon_Casey|Michael_Sucsy,3
Stephen Norrington,184.0,110.0,45.0,595.0,Traci Lords,886.0,70001065.0,Action|Horror,Sanaa Lathan,Blade ,191437,3174,Udo Kier,1.0,1990s|blade|blood|vampire|vampire hunter,http://www.imdb.com/title/tt0120611/?ref_=fn_tt_tt_1,582.0,English,USA,R,45000000.0,1998.0,650.0,7.1,2.35,0,Sanaa_Lathan|Traci_Lords|Udo_Kier|Stephen_Norrington,1
Christian Alvart,167.0,109.0,22.0,355.0,Callum Rennie,14000.0,13248477.0,Horror|Mystery|Thriller,Bradley Cooper,Case 39 ,60555,15790,Vanesa Tomasino,1.0,death|fear|hairy chest|social worker|spinning in chair,http://www.imdb.com/title/tt0795351/?ref_=fn_tt_tt_1,174.0,English,USA,R,27000000.0,2009.0,716.0,6.2,2.35,0,Bradley_Cooper|Callum_Rennie|Vanesa_Tomasino|Christian_Alvart,1
Brian De Palma,147.0,142.0,0.0,638.0,F. Murray Abraham,14000.0,44700000.0,Crime|Drama,Al Pacino,Scarface ,537442,16464,Mary Elizabeth Mastrantonio,0.0,assassination attempt|capitalism|cocaine|cuban american|cuban refugee,http://www.imdb.com/title/tt0086250/?ref_=fn_tt_tt_1,851.0,English,USA,R,25000000.0,1983.0,670.0,8.3,2.35,19000,Al_Pacino|F._Murray_Abraham|Mary_Elizabeth_Mastrantonio|Brian_De_Palma,34
Peter Weir,213.0,103.0,608.0,576.0,Noah Emmerich,2000.0,125603360.0,Comedy|Drama|Sci-Fi,Natascha McElhone,The Truman Show ,667983,3698,Peter Krause,1.0,controlled environment|fictional reality show|hidden camera|innocence lost|simulated reality,http://www.imdb.com/title/tt0120382/?ref_=fn_tt_tt_1,877.0,English,USA,PG,60000000.0,1998.0,617.0,8.1,1.85,18000,Natascha_McElhone|Noah_Emmerich|Peter_Krause|Peter_Weir,27
Christian E. Christiansen,138.0,91.0,26.0,638.0,Danneel Ackles,3000.0,37300107.0,Drama|Horror|Thriller,Leighton Meester,The Roommate ,29147,5349,Frances Fisher,1.0,animal abuse(non graphic)|cat killer|college|dead cat|death of cat,http://www.imdb.com/title/tt1265990/?ref_=fn_tt_tt_1,115.0,English,USA,PG-13,16000000.0,2011.0,1000.0,4.8,2.35,0,Leighton_Meester|Danneel_Ackles|Frances_Fisher|Christian_E._Christiansen,1
Angela Robinson,50.0,91.0,23.0,660.0,Geoff Stults,4000.0,96793.0,Action|Comedy|Romance,Jordana Brewster,D.E.B.S. ,12188,6380,Scoot McNairy,3.0,1959 cadillac|diamonds|female villain|force field|voyeurism,http://www.imdb.com/title/tt0367631/?ref_=fn_tt_tt_1,135.0,English,USA,PG-13,3500000.0,2004.0,756.0,5.3,2.35,1000,Jordana_Brewster|Geoff_Stults|Scoot_McNairy|Angela_Robinson,8
Wych Kaosayananda,92.0,91.0,8.0,298.0,Sandrine Holt,349.0,14294842.0,Action|Crime|Sci-Fi|Thriller,Talisa Soto,Ballistic: Ecks vs. Sever ,16761,1846,Gregg Henry,1.0,blood splatter|camera shot from inside human body|combat|die hard scenario|fbi,http://www.imdb.com/title/tt0308208/?ref_=fn_tt_tt_1,277.0,English,USA,R,70000000.0,2002.0,324.0,3.6,2.35,391,Talisa_Soto|Sandrine_Holt|Gregg_Henry|Wych_Kaosayananda,9
Roger Michell,150.0,124.0,50.0,427.0,Clarke Peters,8000.0,116006080.0,Comedy|Drama|Romance,Julia Roberts,Notting Hill ,203269,9255,Dylan Moran,1.0,actress|bookstore|friend|kiss|love,http://www.imdb.com/title/tt0125439/?ref_=fn_tt_tt_1,602.0,English,UK,PG-13,42000000.0,1999.0,437.0,7.0,2.35,11000,Julia_Roberts|Clarke_Peters|Dylan_Moran|Roger_Michell,17
Tom Shadyac,191.0,101.0,293.0,1000.0,Steve Carell,11000.0,242589580.0,Comedy|Drama,Morgan Freeman,Bruce Almighty ,296904,21276,Lisa Ann Walter,1.0,answer to prayer|breast expansion|pleading with god|supernatural power|walking on water,http://www.imdb.com/title/tt0315327/?ref_=fn_tt_tt_1,604.0,English,USA,PG-13,81000000.0,2003.0,7000.0,6.7,1.85,0,Morgan_Freeman|Steve_Carell|Lisa_Ann_Walter|Tom_Shadyac,31
Kurt Voss,12.0,88.0,0.0,3.0,Coyote Shivers,268.0,58936.0,Comedy|Music,Lemmy,Down and Out with the Dolls ,91,318,Zo?? Poledouris,0.0,female bassist|female drummer|female guitarist|female singer|portland oregon,http://www.imdb.com/title/tt0283323/?ref_=fn_tt_tt_1,4.0,English,USA,R,1200000.0,2001.0,44.0,6.1,1.78,27,Lemmy|Coyote_Shivers|Zo??_Poledouris|Kurt_Voss,14
Iain Softley,140.0,120.0,34.0,1000.0,Jeff Bridges,18000.0,50173190.0,Drama|Mystery|Sci-Fi,Kevin Spacey,K-PAX ,148490,33615,Alfre Woodard,1.0,extraterrestrial|hospital|patient|planet|science,http://www.imdb.com/title/tt0272152/?ref_=fn_tt_tt_1,537.0,English,USA,PG-13,48000000.0,2001.0,12000.0,7.4,2.35,0,Kevin_Spacey|Jeff_Bridges|Alfre_Woodard|Iain_Softley,11
Norman Jewison,66.0,181.0,278.0,51.0,Paul Michael Glaser,402.0,50000000.0,Drama|Family|Musical|Romance,Topol,Fiddler on the Roof ,29839,934,Rosalind Harris,0.0,immigration|jewish|pogrom|tradition|tradition versus modernity,http://www.imdb.com/title/tt0067093/?ref_=fn_tt_tt_1,150.0,English,USA,G,9000000.0,1971.0,343.0,8.0,2.35,0,Topol|Paul_Michael_Glaser|Rosalind_Harris|Norman_Jewison,3
Richard E. Grant,49.0,97.0,554.0,530.0,Julie Walters,876.0,233103.0,Drama,Emily Watson,Wah-Wah ,2670,2544,Miranda Richardson,3.0,alcoholic|alcoholic father|stepmother|swaziland|unfaithful wife,http://www.imdb.com/title/tt0419256/?ref_=fn_tt_tt_1,50.0,English,UK,R,7000000.0,2005.0,838.0,6.9,2.35,311,Emily_Watson|Julie_Walters|Miranda_Richardson|Richard_E._Grant,23
Kevin Lima,222.0,107.0,36.0,118.0,Teala Dunn,283.0,127706877.0,Animation|Comedy|Family|Fantasy|Musical|Romance,Jeff Bennett,Enchanted ,142496,662,Fred Tatasciore,2.0,fairy tale|lawyer|love|new york|prince,http://www.imdb.com/title/tt0461770/?ref_=fn_tt_tt_1,399.0,English,USA,PG,85000000.0,2007.0,142.0,7.1,2.35,0,Jeff_Bennett|Teala_Dunn|Fred_Tatasciore|Kevin_Lima,4
Gillian Armstrong,28.0,132.0,44.0,241.0,Richard Roxburgh,1000.0,1508689.0,Drama|Romance,Tom Wilkinson,Oscar and Lucinda ,5648,2004,Clive Russell,2.0,australia|church|glass|inheritance|wager,http://www.imdb.com/title/tt0119843/?ref_=fn_tt_tt_1,50.0,English,USA,R,16000000.0,1997.0,653.0,6.7,2.35,329,Tom_Wilkinson|Richard_Roxburgh|Clive_Russell|Gillian_Armstrong,22
Antoine Fuqua,109.0,122.0,845.0,854.0,Snoop Dogg,18000.0,76261036.0,Crime|Drama|Thriller,Denzel Washington,Training Day ,305929,22370,Tom Berenger,2.0,lapd|narc|narcotics|title spoken by character|training,http://www.imdb.com/title/tt0139654/?ref_=fn_tt_tt_1,633.0,English,USA,R,45000000.0,2001.0,881.0,7.7,2.35,0,Denzel_Washington|Snoop_Dogg|Tom_Berenger|Antoine_Fuqua,34
Sofia Coppola,265.0,101.0,0.0,11.0,Bill Murray,19000.0,44566004.0,Drama,Scarlett Johansson,Lost in Translation ,321283,32015,Catherine Lambert,0.0,fish out of water|japanese|loneliness|older man younger woman relationship|unlikely friendship,http://www.imdb.com/title/tt0335266/?ref_=fn_tt_tt_1,1848.0,English,USA,R,4000000.0,2003.0,13000.0,7.8,1.85,17000,Scarlett_Johansson|Bill_Murray|Catherine_Lambert|Sofia_Coppola,38
Tom Holland,73.0,93.0,85.0,514.0,Bethany Joy Lenz,1000.0,15171475.0,Fantasy|Horror,Joe Mantegna,Thinner ,19805,2777,Kari Wuhrer,0.0,death|doctor|gypsy|judge|lawyer,http://www.imdb.com/title/tt0117894/?ref_=fn_tt_tt_1,122.0,English,USA,R,8500000.0,1996.0,855.0,5.7,1.85,0,Joe_Mantegna|Bethany_Joy_Lenz|Kari_Wuhrer|Tom_Holland,1
Gavin Hood,326.0,114.0,151.0,430.0,Moises Arias,11000.0,61656849.0,Action|Sci-Fi,Harrison Ford,Ender's Game ,184561,12908,Aramis Knight,4.0,alien|future|manipulation|simulation|training,http://www.imdb.com/title/tt1731141/?ref_=fn_tt_tt_1,554.0,English,USA,PG-13,110000000.0,2013.0,635.0,6.7,2.35,123000,Harrison_Ford|Moises_Arias|Aramis_Knight|Gavin_Hood,32
Christopher Guest,50.0,84.0,378.0,611.0,Fred Willard,925.0,2892582.0,Comedy,Catherine O'Hara,Waiting for Guffman ,22697,3559,Larry Miller,0.0,amateur theater|dentist|missouri|small town|travel agent,http://www.imdb.com/title/tt0118111/?ref_=fn_tt_tt_1,202.0,English,USA,R,4000000.0,1996.0,729.0,7.6,1.85,0,Catherine_O'Hara|Fred_Willard|Larry_Miller|Christopher_Guest,14
M. Night Shyamalan,208.0,106.0,0.0,242.0,Merritt Wever,710.0,227965690.0,Drama|Sci-Fi|Thriller,Rory Culkin,Signs ,271592,1675,Cherry Jones,0.0,crop circle|faith|farm|glass of water|loss of faith,http://www.imdb.com/title/tt0286106/?ref_=fn_tt_tt_1,2335.0,English,USA,PG-13,72000000.0,2002.0,529.0,6.7,1.85,0,Rory_Culkin|Merritt_Wever|Cherry_Jones|M._Night_Shyamalan,11
Daniel Espinosa,298.0,115.0,79.0,820.0,Ryan Reynolds,18000.0,126149655.0,Action|Crime|Mystery|Thriller,Denzel Washington,Safe House ,166693,36237,Sam Shepard,1.0,cia|cia agent|consulate|on the run|safe house,http://www.imdb.com/title/tt1599348/?ref_=fn_tt_tt_1,276.0,English,USA,R,85000000.0,2012.0,16000.0,6.8,2.35,19000,Denzel_Washington|Ryan_Reynolds|Sam_Shepard|Daniel_Espinosa,0
Steven Soderbergh,169.0,131.0,0.0,658.0,Albert Finney,8000.0,125548685.0,Biography|Drama,Julia Roberts,Erin Brockovich ,135246,10003,Conchata Ferrell,0.0,contamination|corporate crime|environmental issue|female protagonist|working single mother,http://www.imdb.com/title/tt0195685/?ref_=fn_tt_tt_1,498.0,English,USA,R,52000000.0,2000.0,883.0,7.3,1.85,0,Julia_Roberts|Albert_Finney|Conchata_Ferrell|Steven_Soderbergh,29
Ryan Coogler,437.0,133.0,0.0,531.0,Phylicia Rashad,13000.0,109712885.0,Drama|Sport,Sylvester Stallone,Creed ,146708,15106,Graham McTavish,1.0,boxing|boxing match|fight|montage|philadelphia,http://www.imdb.com/title/tt3076658/?ref_=fn_tt_tt_1,362.0,English,USA,PG-13,35000000.0,2015.0,597.0,7.7,2.35,70000,Sylvester_Stallone|Phylicia_Rashad|Graham_McTavish|Ryan_Coogler,23
Jake Kasdan,81.0,116.0,52.0,102.0,Ryan O'Neal,624.0,1980338.0,Comedy|Crime|Drama|Mystery|Thriller,Kim Dickens,Zero Effect ,12366,1209,Angela Featherstone,2.0,blackmail|client|private detective|private investigator|tycoon,http://www.imdb.com/title/tt0120906/?ref_=fn_tt_tt_1,151.0,English,USA,R,5000000.0,1998.0,385.0,7.0,1.85,507,Kim_Dickens|Ryan_O'Neal|Angela_Featherstone|Jake_Kasdan,0
Bobby Farrelly,62.0,117.0,101.0,743.0,Lin Shaye,13000.0,24944213.0,Comedy|Sport,Bill Murray,Kingpin ,63459,16937,Richard Tyson,2.0,amish|bowling|on the road|rubber hand|tournament,http://www.imdb.com/title/tt0116778/?ref_=fn_tt_tt_1,185.0,English,USA,PG-13,27000000.0,1996.0,852.0,6.9,2.35,3000,Bill_Murray|Lin_Shaye|Richard_Tyson|Bobby_Farrelly,5
